epoch_s,container,cpu_pct,mem_MiB
1781192828,backend-billing-api-1,1.26,34.66
1781192828,backend-billing-db-1,0.32,50.64
1781192828,backend-billing-jaeger-1,0.05,13.25
1781192828,minikube,37.49,1024
1781192833,backend-billing-prometheus-1,0.45,94.54
1781192833,backend-billing-api-1,3.01,33.2
1781192833,backend-billing-db-1,0.38,50.89
1781192833,backend-billing-jaeger-1,0.04,13.25
1781192833,minikube,26.58,1024
1781192838,backend-billing-prometheus-1,0.41,94.54
1781192838,backend-billing-api-1,1.42,32.05
1781192838,backend-billing-db-1,0.26,50.64
1781192838,backend-billing-jaeger-1,0.02,13.25
1781192838,minikube,19.02,1024
1781192843,backend-billing-prometheus-1,0.39,94.54
1781192843,backend-billing-api-1,1.22,32.2
1781192843,backend-billing-db-1,0.27,50.64
1781192843,backend-billing-jaeger-1,0.02,13.25
1781192843,minikube,22.84,1024
1781192848,backend-billing-prometheus-1,0.31,94.54
1781192848,backend-billing-api-1,2.56,32.78
1781192848,backend-billing-db-1,0.27,50.64
1781192848,backend-billing-jaeger-1,0.10,13.25
1781192848,minikube,32.74,1024
1781192853,backend-billing-prometheus-1,0.30,94.54
1781192853,backend-billing-api-1,0.90,32.57
1781192853,backend-billing-db-1,0.21,50.64
1781192853,backend-billing-jaeger-1,0.02,13.25
1781192853,minikube,16.76,1024
1781192858,backend-billing-prometheus-1,0.49,94.54
1781192858,backend-billing-api-1,1.31,33.02
1781192858,backend-billing-db-1,0.32,50.64
1781192858,backend-billing-jaeger-1,0.02,13.25
1781192858,minikube,38.18,1024
1781192863,backend-billing-prometheus-1,0.49,94.54
1781192863,backend-billing-api-1,1.38,32.84
1781192863,backend-billing-db-1,0.32,50.64
1781192863,backend-billing-jaeger-1,0.08,13.25
1781192863,minikube,17.04,1024
1781192868,backend-billing-prometheus-1,0.35,94.55
1781192868,backend-billing-api-1,0.94,33.59
1781192868,backend-billing-db-1,0.21,50.64
1781192868,backend-billing-jaeger-1,0.05,13.25
1781192868,minikube,37.29,1024
1781192872,backend-billing-prometheus-1,0.74,94.55
1781192872,backend-billing-api-1,1.33,33.56
1781192872,backend-billing-db-1,0.28,50.64
1781192872,backend-billing-jaeger-1,0.07,13.25
1781192872,minikube,14.33,1024
1781192877,backend-billing-prometheus-1,0.95,94.55
1781192877,backend-billing-api-1,1.74,32.77
1781192877,backend-billing-db-1,0.26,50.64
1781192877,backend-billing-jaeger-1,0.05,13.25
1781192877,minikube,21.80,1024
1781192883,backend-billing-prometheus-1,0.47,94.55
1781192883,backend-billing-api-1,1.25,32.71
1781192883,backend-billing-db-1,0.23,50.7
1781192883,backend-billing-jaeger-1,0.05,13.25
1781192883,minikube,32.08,1024
1781192888,backend-billing-prometheus-1,0.30,94.55
1781192888,backend-billing-api-1,1.36,32.71
1781192888,backend-billing-db-1,0.25,50.7
1781192888,backend-billing-jaeger-1,0.01,13.25
1781192888,minikube,41.40,1024
1781192893,backend-billing-prometheus-1,0.38,94.55
1781192893,backend-billing-api-1,1.44,33.4
1781192893,backend-billing-db-1,0.24,50.7
1781192893,backend-billing-jaeger-1,0.06,13.25
1781192893,minikube,16.57,1024
1781192898,backend-billing-prometheus-1,0.34,94.55
1781192898,backend-billing-api-1,1.16,32.9
1781192898,backend-billing-db-1,0.66,50.7
1781192898,backend-billing-jaeger-1,0.01,13.25
1781192898,minikube,35.87,1024
1781192903,backend-billing-prometheus-1,0.41,94.55
1781192903,backend-billing-api-1,1.74,33.61
1781192903,backend-billing-db-1,0.24,50.7
1781192903,backend-billing-jaeger-1,0.02,13.25
1781192903,minikube,16.22,1024
1781192908,backend-billing-prometheus-1,0.43,94.55
1781192908,backend-billing-api-1,1.07,32.96
1781192908,backend-billing-db-1,0.28,50.7
1781192908,backend-billing-jaeger-1,0.07,13.25
1781192908,minikube,29.73,1024
1781192912,backend-billing-prometheus-1,0.44,94.55
1781192912,backend-billing-api-1,1.27,33
1781192912,backend-billing-db-1,0.40,50.7
1781192912,backend-billing-jaeger-1,0.08,13.25
1781192912,minikube,15.01,1024
1781192917,backend-billing-prometheus-1,0.32,94.56
1781192917,backend-billing-api-1,1.10,33.32
1781192917,backend-billing-db-1,0.33,50.7
1781192917,backend-billing-jaeger-1,0.04,13.25
1781192917,minikube,20.59,1024
1781192923,backend-billing-prometheus-1,0.43,94.57
1781192923,backend-billing-api-1,1.56,33.57
1781192923,backend-billing-db-1,0.29,50.7
1781192923,backend-billing-jaeger-1,0.12,13.25
1781192923,minikube,17.85,1024
1781192928,backend-billing-prometheus-1,0.40,94.58
1781192928,backend-billing-api-1,0.91,34.12
1781192928,backend-billing-db-1,0.23,50.94
1781192928,backend-billing-jaeger-1,0.03,13.25
1781192928,minikube,26.69,1024
1781192933,backend-billing-prometheus-1,0.40,94.59
1781192933,backend-billing-api-1,1.13,32.97
1781192933,backend-billing-db-1,0.26,50.7
1781192933,backend-billing-jaeger-1,0.04,13.25
1781192933,minikube,14.52,1024
1781192938,backend-billing-prometheus-1,0.43,94.59
1781192938,backend-billing-api-1,1.39,33.19
1781192938,backend-billing-db-1,0.31,50.7
1781192938,backend-billing-jaeger-1,0.09,13.25
1781192938,minikube,39.29,1024
1781192943,backend-billing-prometheus-1,0.37,94.62
1781192943,backend-billing-api-1,1.04,34.03
1781192943,backend-billing-db-1,0.25,50.7
1781192943,backend-billing-jaeger-1,0.05,13.25
1781192943,minikube,16.24,1024
1781192948,backend-billing-prometheus-1,0.90,94.5
1781192948,backend-billing-api-1,1.44,33.47
1781192948,backend-billing-db-1,0.21,50.7
1781192948,backend-billing-jaeger-1,0.11,13.25
1781192948,minikube,36.29,1024
1781192953,backend-billing-prometheus-1,0.37,94.52
1781192953,backend-billing-api-1,1.24,33.04
1781192953,backend-billing-db-1,0.28,50.7
1781192953,backend-billing-jaeger-1,0.02,13.25
1781192953,minikube,22.41,1024
1781192958,backend-billing-prometheus-1,0.42,94.52
1781192958,backend-billing-api-1,1.24,33.42
1781192958,backend-billing-db-1,0.25,50.7
1781192958,backend-billing-jaeger-1,0.01,13.25
1781192958,minikube,38.09,1024
1781192963,backend-billing-prometheus-1,0.39,94.56
1781192963,backend-billing-api-1,1.13,33.99
1781192963,backend-billing-db-1,0.27,50.7
1781192963,backend-billing-jaeger-1,0.01,13.25
1781192963,minikube,23.34,1024
1781192968,backend-billing-prometheus-1,0.41,94.56
1781192968,backend-billing-api-1,1.22,33.74
1781192968,backend-billing-db-1,0.23,50.7
1781192968,backend-billing-jaeger-1,0.07,13.25
1781192968,minikube,29.41,1024
1781192973,backend-billing-prometheus-1,0.38,94.56
1781192973,backend-billing-api-1,1.26,32.26
1781192973,backend-billing-db-1,0.33,50.7
1781192973,backend-billing-jaeger-1,0.14,13.25
1781192973,minikube,14.95,1024
1781192978,backend-billing-prometheus-1,0.44,94.56
1781192978,backend-billing-api-1,1.37,33.02
1781192978,backend-billing-db-1,0.28,50.7
1781192978,backend-billing-jaeger-1,0.17,13.25
1781192978,minikube,53.87,1024
1781192982,backend-billing-prometheus-1,0.42,94.56
1781192982,backend-billing-api-1,3.19,33.02
1781192982,backend-billing-db-1,0.35,50.7
1781192982,backend-billing-jaeger-1,0.08,13.25
1781192982,minikube,15.58,1024
1781192987,backend-billing-prometheus-1,0.33,94.56
1781192987,backend-billing-api-1,1.70,32.29
1781192987,backend-billing-db-1,0.26,50.94
1781192987,backend-billing-jaeger-1,0.01,13.25
1781192987,minikube,43.20,1024
1781192993,backend-billing-prometheus-1,0.35,94.56
1781192993,backend-billing-api-1,1.46,32.4
1781192993,backend-billing-db-1,0.55,50.7
1781192993,backend-billing-jaeger-1,0.05,13.25
1781192993,minikube,16.60,1024
1781192998,backend-billing-prometheus-1,0.34,94.56
1781192998,backend-billing-api-1,1.51,33.34
1781192998,backend-billing-db-1,0.26,50.7
1781192998,backend-billing-jaeger-1,0.08,13.25
1781192998,minikube,25.29,1024
